timestamp,route_name,seed,start_tile,goal_name_to,goal_tile_to,goal_name_from,goal_tile_from,to_leg_time,to_leg_collisions,to_leg_productivity,from_leg_time,from_leg_collisions,from_leg_productivity,final_productivity
1745606649.1381412,Broker's Exchange Concourse,,"(1, 2)",Ledger Point,"(10, 5)",Start Point,"(1, 2)",0.607257604598999,4,6323.510765313074,0.9332785606384277,11,3814.509568895177,241210.92323298386
1745610353.8693764,Broker's Exchange Concourse,,"(1, 1)",Ledger Point,"(2, 20)",Start Point,"(1, 1)",2.6901021003723145,15,1263.8925487361369,1.112417221069336,25,2696.8298792751366,34085.03189624821
1745610390.8791535,Broker's Exchange Concourse,,"(1, 1)",Warehouse Annex,"(7, 18)",Start Point,"(1, 1)",6.908458232879639,28,416.880279639403,6.226734161376953,27,468.94566627111055,1954.9420049078674
1745610432.53709,Broker's Exchange Concourse,,"(1, 1)",Ledger Point,"(2, 20)",Start Point,"(1, 1)",2.9898505210876465,0,1337.8595256811975,2.5091705322265625,3,1546.3277406486218,20687.692976518432
1745634272.0438282,Broker's Exchange Concourse,,"(1, 1)",Ledger Point,"(2, 20)",Start Point,"(1, 1)",24.330655336380005,231,-215.36616780580414,3.2283215522766113,92,99.12271588136441,-213.47679461872974
1745634318.2306626,Broker's Exchange Concourse,,"(1, 1)",Ledger Point,"(2, 20)",Start Point,"(1, 1)",10.463511943817139,29,271.4193872238229,1.8775231838226318,12,1874.8104046487938,5088.598911906231
1745634352.00132,Broker's Exchange Concourse,,"(1, 1)",Merchant’s Atrium,"(12, 15)",Start Point,"(1, 1)",6.306910753250122,17,526.4066878208343,6.565883636474609,29,432.5388869554911,2276.9136283595035
1745634384.238961,Broker's Exchange Concourse,,"(1, 1)",Warehouse Annex,"(7, 18)",Start Point,"(1, 1)",2.8234221935272217,26,1048.3731433385651,1.2766070365905762,19,2537.9775507528466,26607.475026054744
1747088463.095819,Broker's Exchange Concourse,,"(1, 1)",Market Threshold,"(9, 6)",Start Point,"(1, 1)",8.706859588623047,48,238.89210326968686,0.7158551216125488,13,4861.318854799678,11613.306858876806
1747123718.463815,Broker's Exchange Concourse,,"(1, 1)",Market Threshold,"(9, 6)",Start Point,"(1, 1)",14.05541443824768,116,-45.5340539983245,1.1211769580841064,42,2069.2540845331596,-942.2152722138643
1747180415.6491416,Broker's Exchange Concourse,,"(1, 1)",Ledger Point,"(2, 20)",Start Point,"(1, 1)",7.942478179931641,41,297.1364788842658,1.034712314605713,35,2512.7757380472995,7466.373350291868
